Keyword Version: 8.5,Revision: 2018-02-09 13:07:18,Timestamp: 2018-02-15 08:42:56,Terms Of Use: http://gcmd.nasa.gov/r/l/TermsOfUse,"The most up to date XML representations can be found here: https://gcmdservices.gsfc.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=xml""Case native",,,
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,GLACIAL PROCESSES,GLACIAL GROWTH,,,6743ea28-0a6e-4d47-ac71-0c9cdf24ac25
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,GLACIAL PROCESSES,GLACIAL STRIATION,,,12bb9ec2-a706-436d-aa29-253495276052
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,GLACIAL PROCESSES,GLACIER CRUST SUBSIDENCE,,,f8b73efd-d313-41d8-995a-49b80bc8f248
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,GLACIAL PROCESSES,PERIGLACIAL PROCESSES,,,2f8b965f-0a0e-427f-a696-ac6b4323744e
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,GLACIAL PROCESSES,PLUCKING,,,53e26c7c-5e85-4dd0-a999-8de519bf9976
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,GLACIAL PROCESSES,SCOURING,,,92e348f3-9e6c-4e9e-a1bc-ee72d04755d6
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,GLACIAL PROCESSES,SEDIMENT TRANSPORT,,,8c6d4f39-6ae0-4c8d-ad48-2f82bb4e1541
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,GLACIAL PROCESSES,SEDIMENTATION,SEDIMENT CHEMISTRY,,134fd984-9b26-4ceb-9084-3bffc0c5a321
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,GLACIAL PROCESSES,SEDIMENTATION,STRATIGRAPHIC SEQUENCE,,7fa9d5ef-690e-4daf-8503-363b6b1cb6e4
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,GLACIAL PROCESSES,SEDIMENTATION,,,b609e525-db71-4634-b569-f8aab5ad544e
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,GLACIAL PROCESSES,WEATHERING,,,07825acf-619a-4689-b1ed-09c15166624c
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,GLACIAL PROCESSES,,,,b409a30b-0e3f-4592-bec9-7d371797b4a9
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,KARST LANDFORMS,CAVES,,,cdeff06c-28ec-4a4c-b522-4a46f1f9a239
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,KARST LANDFORMS,COCKPIT/TOWER KARST,,,ee347068-e1ff-4271-8726-8343f4f15614
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,KARST LANDFORMS,KARST VALLEY,,,c9323363-ea07-479d-8b64-e3dbf298a7c5
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,KARST LANDFORMS,SINKHOLES (DOLINES),,,b9e8b2e3-ea76-4ce9-8a25-64ba0cdef913
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,KARST LANDFORMS,UVALA,,,d42a8f13-c438-4794-9f37-bd7870ec731d
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,KARST LANDFORMS,,,,590aa85e-bbce-40b2-8ffb-53d80a61c51a
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,KARST PROCESSES,CAC03,,,50fd29da-a846-4dd6-98e8-e826b75eeda7
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,KARST PROCESSES,DISSOLVED CO2,,,c2920f06-fd42-47da-9989-3104f8fb7282
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,KARST PROCESSES,KARST HYDROLOGY,,,e657b41f-4aa0-4816-b3c8-5b477812a0bc
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,KARST PROCESSES,POROSITY,,,0317caf8-af0a-4abe-89fb-fd1d9c33b9e7
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,KARST PROCESSES,WEATHERING,,,d727d3c7-3a02-48c6-ab63-a4b3d3364783
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,KARST PROCESSES,,,,9cd875b0-210b-458f-b208-1690f50820d0
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,CALDRA,,,1a0e7a60-9c22-40c5-8424-55119b4db743
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,CINDER CONE,,,a9f7bee8-fb32-40b1-9936-ecf6f6597b6b
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,FAULTS,,,181fb5a4-125b-445d-b65f-adf9a919c800
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,FOLDS,,,12d2d3ab-2f04-436f-abd4-e28517e6f86c
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,GEYSER,,,1a888a27-8715-46c8-9e11-a6bffba00078
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,GRABEN,,,f1fa2b28-dc04-4373-a6b6-bbcedfaabfb5
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,HORST,,,8493f8c2-63c3-4e1c-b813-1f0f3893a30a
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,LAVA DOME,,,78200b25-8c91-4f1b-82cc-ed79764cd647
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,LAVA PLAIN,,,edb9d13d-27a1-4e9a-a32e-4e49b5e76836
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,MAAR,,,b7ff366c-4322-47bf-b12e-c3fbfb05cf54
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,MOUNTAINS,,,8b7f66ea-d481-4641-9dbf-da90ca3ad9c9
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,PLATEAU,,,694e18ec-ceaf-4070-9763-f3ee6dbd6b5b
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,RIDGE,,,97298feb-6991-4d68-8337-177460e436ad
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,RIFT VALLEY,,,ca874a66-f3a8-4099-978c-4684944dc348
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,TUYA,,,f8a9104b-fe7b-4a60-94fc-6b5ef504db55
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,VOLCANO,,,7c2e1960-ae20-46a9-acf1-a3e71542fbb4
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC LANDFORMS,,,,9673dc0b-89c0-4f0c-b378-f1c8cb267c8f
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC PROCESSES,EPEIROGENIC MOVEMENT,,,bb554660-d608-467c-b265-b9b68eecfb37
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC PROCESSES,ISOSTATIC UPLIFT,,,4f0f52fb-b272-49c6-9425-690d9285c380
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC PROCESSES,OROGENIC MOVEMENT,,,f486acc8-0d0c-4322-bf5c-177bc632bd76
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC PROCESSES,RIFTING,,,1b370af4-1887-4e7a-82a6-9acb9ce5dd5f
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC PROCESSES,SUBDUCTION,,,0d43cb88-dd6d-40ac-b241-b628a39ed2af
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC PROCESSES,TECTONIC UPLIFT,,,7d5472ba-ae65-45df-a19a-c762055eaead
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,TECTONIC PROCESSES,,,,99b4792a-9ea3-4756-a4dc-b1b30c946b54
EARTH SCIENCE,LAND SURFACE,GEOMORPHIC LANDFORMS/PROCESSES,,,,,d35b9ba5-d018-48a5-8f0d-92b9c55b3279
EARTH SCIENCE,LAND SURFACE,LANDSCAPE,LANDSCAPE ECOLOGY,,,,e77c0096-05a7-47ff-8629-55d12c46bb6b
EARTH SCIENCE,LAND SURFACE,LANDSCAPE,LANDSCAPE MANAGEMENT,,,,36a4ac5a-1082-4922-9bca-934c06e54cda
EARTH SCIENCE,LAND SURFACE,LANDSCAPE,LANDSCAPE PATTERNS,,,,3b6fe940-7383-4bae-b436-fc487723bbcf
EARTH SCIENCE,LAND SURFACE,LANDSCAPE,LANDSCAPE PROCESSES,,,,6c44a08d-0a08-47f5-b819-7e561445e613
EARTH SCIENCE,LAND SURFACE,LANDSCAPE,RECLAMATION/REVEGETATION/RESTORATION,,,,d57dff3d-5f2f-425c-80bb-2a6fcb42d3fa
EARTH SCIENCE,LAND SURFACE,LANDSCAPE,REFORESTATION,,,,dcb100c9-5b43-422a-a429-25cae9dbb170
EARTH SCIENCE,LAND SURFACE,LANDSCAPE,,,,,f36d71c6-f2ad-49c4-809f-09b4f0688412
EARTH SCIENCE,LAND SURFACE,SOILS,CALCIUM,,,,9409ee0f-2b72-4472-9d61-f8072981a6cb
EARTH SCIENCE,LAND SURFACE,SOILS,CARBON,,,,a7ae5843-479c-4055-b8fc-ba651e485750
EARTH SCIENCE,LAND SURFACE,SOILS,CATION EXCHANGE CAPACITY,,,,9bad3c7b-daf6-428a-89bd-ce62b074dfcf
EARTH SCIENCE,LAND SURFACE,SOILS,DENITRIFICATION RATE,,,,0d0de6a7-c340-4e6b-b01d-ccbb6e7fa913
EARTH SCIENCE,LAND SURFACE,SOILS,ELECTRICAL CONDUCTIVITY,,,,781bf38b-2797-4415-8d5a-67e9f3a2f5fe
EARTH SCIENCE,LAND SURFACE,SOILS,HEAVY METALS,,,,49ee4fcc-a0ad-4638-aec9-90b4946d8922
EARTH SCIENCE,LAND SURFACE,SOILS,HYDRAULIC CONDUCTIVITY,,,,e2a88ac8-7bf3-408c-b2b4-b3217f9e4917
EARTH SCIENCE,LAND SURFACE,SOILS,MACROFAUNA,,,,5c4b5f03-8e57-49f0-bb03-f8efafb837d3
EARTH SCIENCE,LAND SURFACE,SOILS,MAGNESIUM,,,,7b86bc20-ba2b-4cd0-8aa0-ed47663d9222
EARTH SCIENCE,LAND SURFACE,SOILS,MICROFAUNA,,,,e9555194-efd1-4427-b8e3-8fe6c49b8636
EARTH SCIENCE,LAND SURFACE,SOILS,MICROFLORA,,,,ed1b3fa6-173d-476c-9b35-c57335c0a473
EARTH SCIENCE,LAND SURFACE,SOILS,MICRONUTRIENTS/TRACE ELEMENTS,,,,ac061db6-21c7-46fc-b5a8-9f61c795fdd6
EARTH SCIENCE,LAND SURFACE,SOILS,NITROGEN,,,,e1179e7f-59e5-465a-9879-6bda6985744e
EARTH SCIENCE,LAND SURFACE,SOILS,ORGANIC MATTER,,,,215f69b9-259a-4b82-9f8f-f96d4f5aaad2
EARTH SCIENCE,LAND SURFACE,SOILS,PERMAFROST,,,,08240c92-00b5-4f25-bf2e-8030531a78d2
EARTH SCIENCE,LAND SURFACE,SOILS,PHOSPHORUS,,,,9169ace5-0f04-4fc9-b38d-b89a786b9fe1
EARTH SCIENCE,LAND SURFACE,SOILS,POTASSIUM,,,,8af17fd3-7c42-4698-9d60-e154ece5aebe
EARTH SCIENCE,LAND SURFACE,SOILS,RECLAMATION/REVEGETATION/RESTORATION,,,,c22818ce-07aa-4f77-8fe2-be1925743bac
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL ABSORPTION,,,,e497c2e3-cd21-4af9-9a5d-91da4e201631
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL BULK DENSITY,,,,2c821621-f035-4c57-8dee-5f24968f959a
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL CHEMISTRY,,,,e273b634-62f5-4601-8b92-6550f6efeab8
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL CLASSIFICATION,,,,14e51b6e-9d91-4af5-bb93-22842359d492
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL COLOR,,,,013b44e9-df5c-4ef8-a99f-7351d16bfd14
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL COMPACTION,,,,c9f8c1e9-dca8-4c2e-9537-65903d19cfe5
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL CONSISTENCE,,,,6ce3eeff-d222-4356-8cd2-50fbcbcbb295
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL DEPTH,,,,60e783c1-4b33-4ab3-860b-8bd4ed00dc9f
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL EROSION,,,,6eef914d-ff9f-44b0-a3a6-3dcf911023d4
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL FERTILITY,,,,cdb10789-ef01-46bd-8047-86e550df0df4
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL GAS/AIR,,,,76c23076-d9d5-4414-a69f-a830cecdd9ce
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL HEAT BUDGET,,,,c6847d01-cbf9-491b-be59-c283d9072d95
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL HORIZONS/PROFILE,,,,7a16aa40-c74b-4a69-a230-1edd1b453332
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL IMPEDANCE,,,,bcc72093-b2d4-47e8-9213-7f48172e0e95
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL INFILTRATION,,,,2283a2fe-19ec-4b1d-a553-20ec9713a658
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL MECHANICS,,,,e9d5ae5a-0718-44f2-9694-b791b646a825
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL MOISTURE/WATER CONTENT,,,,bbe2ea34-8842-4a9f-9b0b-95dd3c71857f
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL PH,,,,357193c5-154d-487b-a1c3-a1a90d15918c
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL PLASTICITY,,,,2da4e52a-b43b-4ff0-9e4d-c98438a38c6d
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL POROSITY,,,,20f932b9-cc40-4462-879f-1c8d8c765152
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL PRODUCTIVITY,,,,1e7afff2-cd50-4d26-968b-bffd2d738edd
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL RESPIRATION,,,,e699830a-0abf-45b2-8026-ac80e0269ea7
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL ROOTING DEPTH,,,,1b475201-a032-4a66-a3aa-a35605affaee
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL SALINITY/SOIL SODICITY,,,,9d7b0259-2d88-4e78-b2c2-131a02d05c15
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL STRUCTURE,,,,aa25235a-596f-4504-89e1-4c625275700d
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL TEMPERATURE,,,,0546b91a-294d-45d9-8b45-76aaad0cc024
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL TEXTURE,,,,fb05c0c0-7fcd-470c-ba2b-755f04f5d811
EARTH SCIENCE,LAND SURFACE,SOILS,SOIL WATER HOLDING CAPACITY,,,,7c00e468-6a43-49ef-891e-b0ce29e2ff36
EARTH SCIENCE,LAND SURFACE,SOILS,SULFUR,,,,742e6889-1ebf-4441-b803-4892c7176822
EARTH SCIENCE,LAND SURFACE,SOILS,THERMAL CONDUCTIVITY,,,,c67c1e1c-19f1-49de-8b2b-d5ce6f596323
EARTH SCIENCE,LAND SURFACE,SOILS,,,,,3526afb8-0dc9-43c7-8ad4-f34f250a1e91
EARTH SCIENCE,LAND SURFACE,SURFACE RADIATIVE PROPERTIES,ALBEDO,,,,136b1de3-4b2e-49e6-80cd-cf2e9bac2c48
EARTH SCIENCE,LAND SURFACE,SURFACE RADIATIVE PROPERTIES,ANISOTROPY,,,,00c1d7b9-61d8-40ad-8c33-f27006832866
EARTH SCIENCE,LAND SURFACE,SURFACE RADIATIVE PROPERTIES,EMISSIVITY,,,,4ee9d0c5-2e0c-486c-b89b-7b002d18c5f7
EARTH SCIENCE,LAND SURFACE,SURFACE RADIATIVE PROPERTIES,REFLECTANCE,,,,f043c0a8-9cee-4c51-bf64-a4aaa34ab75d
EARTH SCIENCE,LAND SURFACE,SURFACE RADIATIVE PROPERTIES,,,,,cb5cc628-a1b5-459e-934f-881153a937b8
EARTH SCIENCE,LAND SURFACE,SURFACE THERMAL PROPERTIES,LAND HEAT CAPACITY,,,,8931329c-3f6d-4ba6-913c-27afa8d104c1
EARTH SCIENCE,LAND SURFACE,SURFACE THERMAL PROPERTIES,LAND SURFACE TEMPERATURE,,,,d559b900-eca6-42a4-9311-0297b2ef98ab
EARTH SCIENCE,LAND SURFACE,SURFACE THERMAL PROPERTIES,SKIN TEMPERATURE,,,,40d6a3e7-89dd-4399-8fa5-bbc7a0917b4e
EARTH SCIENCE,LAND SURFACE,SURFACE THERMAL PROPERTIES,,,,,a228b67f-0791-470b-a4ca-71b8da279332
EARTH SCIENCE,LAND SURFACE,TOPOGRAPHY,SURFACE ROUGHNESS,,,,21474df3-f9a6-48ca-be15-bdb3611fe062
EARTH SCIENCE,LAND SURFACE,TOPOGRAPHY,TERRAIN ELEVATION,BED ELEVATION,,,05e52e24-b9ac-42cf-bdf9-1dcad56900e8
EARTH SCIENCE,LAND SURFACE,TOPOGRAPHY,TERRAIN ELEVATION,CONTOUR MAPS,,,120f9132-a756-4f6f-a74c-78e94dfcd2a1
EARTH SCIENCE,LAND SURFACE,TOPOGRAPHY,TERRAIN ELEVATION,DIGITAL ELEVATION/TERRAIN MODEL (DEM),,,395372ad-2883-4b6a-a481-6383a310ca47
EARTH SCIENCE,LAND SURFACE,TOPOGRAPHY,TERRAIN ELEVATION,TOPOGRAPHICAL RELIEF MAPS,,,f7d2e34a-c5c2-4c21-9132-2472620dbda1
EARTH SCIENCE,LAND SURFACE,TOPOGRAPHY,TERRAIN ELEVATION,,,,74ed1690-968e-444c-8a31-7b8344a2aad3
EARTH SCIENCE,LAND SURFACE,TOPOGRAPHY,TOPOGRAPHIC EFFECTS,,,,05bef198-cfff-48be-b0cb-14e296d38dbc
EARTH SCIENCE,LAND SURFACE,TOPOGRAPHY,,,,,3e822484-c94a-457b-a32f-376fcbd6fd35
EARTH SCIENCE,LAND SURFACE,,,,,,6a426480-c58f-4b6b-8e35-0975b7f6edb5
EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,ABYSSAL HILLS/PLAINS,,,,0b011562-ee55-4ba0-a026-4faa7493ca5b
EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,BATHYMETRY,COASTAL BATHYMETRY,,,d80c015f-a383-4883-8309-6aab1c39f5b6
EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,BATHYMETRY,,,,80d79c7e-6c64-4ada-bfcc-4093969758a5
EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,CONTINENTAL MARGINS,,,,a91a00f7-05ed-4633-9fac-1772a48b6342
EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,FRACTURE ZONES,,,,58c12630-a889-44c1-a951-56bbbe9758c9
EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,OCEAN PLATEAUS/RIDGES,,,,73e02157-9df9-415f-93fc-cb457989ddb1
EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,SEAFLOOR TOPOGRAPHY,,,,b6b51058-1111-4498-a9ac-e1515270fb27
EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,SEAMOUNTS,,,,83520258-413c-4842-93c0-58a23dc58638
EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,SUBMARINE CANYONS,,,,18ce5577-26e9-4b76-860b-1ba31cafa9d0
EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,TRENCHES,,,,36040c6a-5e3a-49fe-b519-162fb77a0fd4
EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,WATER DEPTH,,,,ca477721-473b-40d7-a72b-4ffa963e48fb
EARTH SCIENCE,OCEANS,BATHYMETRY/SEAFLOOR TOPOGRAPHY,,,,,c16bda61-353b-4668-af2f-bbb98785b6fa
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,BARRIER ISLANDS,,,,7e28f2e0-a641-4085-be07-366ed6e701f4
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,BEACHES,,,,4ba798ce-ad0b-4809-94fa-ec1b8e294252
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,COASTAL ELEVATION,,,,1fbf5df2-ab7c-43fc-9bb2-8eb3f8891f7b
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,CORAL REEFS,CORAL BLEACHING,,,f5df87b6-ed50-4da0-9ba5-7ce4c907bdb3
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,CORAL REEFS,,,,ad497e7a-48fa-45e1-90a5-b052508bdb30
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,DELTAS,,,,f9f0f92b-7901-4dda-8d64-be4e845ce29b
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,DUNES,,,,6f7b2753-aed1-4783-a7cc-781d00d13a0f
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,EROSION,,,,cd7a7748-7231-4a73-b85c-b5696066230a
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,ESTUARIES,,,,a7dcdedf-bcc5-4032-b70f-7fadf74d6144
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,FJORDS,,,,a90899c8-fe50-48e0-b92c-bb64f6ae681c
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,INLETS,,,,f43cd776-c568-4d09-997c-0a8ad1022e06
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,INTERTIDAL ZONE,,,,82b62e59-6ea1-48e1-a402-bd386c5046eb
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,LAGOONS,,,,c733c179-c12a-47e9-8e9a-817a5212446f
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,LOCAL SUBSIDENCE TRENDS,,,,5a090f0c-7466-47fd-b679-5dee947ab05c
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,LONGSHORE CURRENTS,,,,ccf07d90-b3a3-43d3-9249-a494bb48d1b6
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,MANGROVES,,,,04c4a85f-91ce-4d64-9e19-b3e0897ff187
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,MARSHES,,,,30056645-a442-4ef6-ac76-c5bc27086d83
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,ROCKY COASTS,,,,488f4df2-712e-4fac-98d1-46ab134b84ee
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,SALTWATER INTRUSION,,,,dffe5a35-09af-4413-bdd3-a5aedfeb49cc
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,SEA LEVEL RISE,,,,0afaaa5e-f88c-4c1f-95c1-1faa0148885a
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,SEA SURFACE HEIGHT,,,,1ed24fe1-d0d5-46d1-8d22-8ac25d289c75
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,SEDIMENT TRANSPORT,,,,c5c34f0a-552e-45a6-91c1-9edb3a8deef9
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,SEDIMENTATION,,,,9457740a-897b-4adc-96fb-f3e3aafa34ea
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,SHOALS,,,,4c2d2255-680d-47d6-adb2-179093593f8a
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,SHORELINE DISPLACEMENT,,,,1a740c3e-7032-4f72-93e8-d0ba343d82e0
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,SHORELINES,,,,1d3b4eb7-9931-44bf-8457-26847051b7a8
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,STORM SURGE,,,,9edd23d0-68a9-4bae-8887-705058f48ba7
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,TIDAL HEIGHT,,,,9ab67e8f-066e-47b8-838d-8cd5e7460119
EARTH SCIENCE,OCEANS,COASTAL PROCESSES,,,,,b6fd22ab-dca7-4dfa-8812-913453b5695b
EARTH SCIENCE,OCEANS,MARINE ENVIRONMENT MONITORING,MARINE OBSTRUCTIONS,,,,56e4dd42-e393-4aa2-b4d9-9e96d85c9768
EARTH SCIENCE,OCEANS,MARINE ENVIRONMENT MONITORING,,,,,ca154e02-a226-4cc7-8e4a-4474e7eb1eeb
EARTH SCIENCE,OCEANS,MARINE GEOPHYSICS,MAGNETIC ANOMALIES,,,,e31f905d-bd2a-4fe9-89d8-909e1d2b9b1a
EARTH SCIENCE,OCEANS,MARINE GEOPHYSICS,MARINE GRAVITY FIELD,,,,ad09b215-e837-4d9f-acbc-2b45e5b81825
EARTH SCIENCE,OCEANS,MARINE GEOPHYSICS,MARINE MAGNETICS,,,,7863ce31-0e06-42a5-bcf8-25981c44dec8
EARTH SCIENCE,OCEANS,MARINE GEOPHYSICS,PLATE TECTONICS,,,,78a4dbe2-2d6b-4562-988c-022c3a83f4c1
EARTH SCIENCE,OCEANS,MARINE GEOPHYSICS,,,,,bb04ee83-bf49-4f96-898d-20bb6e92bc93
EARTH SCIENCE,OCEANS,MARINE SEDIMENTS,BIOGENIC SEDIMENTS,,,,ff0108e2-8415-423c-85ed-07792dbef534
EARTH SCIENCE,OCEANS,MARINE SEDIMENTS,BIOTURBATION,,,,14c8935f-8a46-4111-8f2e-bec8bbae5d13
EARTH SCIENCE,OCEANS,MARINE SEDIMENTS,DIAGENESIS,,,,4bfed15d-b8b4-4fb1-940b-ef342c4c2225
EARTH SCIENCE,OCEANS,MARINE SEDIMENTS,GEOTECHNICAL PROPERTIES,,,,d4f4b5d3-27b2-4b7d-bb69-733b67ac687a
EARTH SCIENCE,OCEANS,MARINE SEDIMENTS,HYDROGENOUS SEDIMENTS,,,,3d352f0f-f69f-44c4-b345-aa9230fbd6ca
