"ConceptScheme URI",https://w3id.org/formater/variable/
PREFIX,ft,https://w3id.org/formater/variable/

"Ce fichier est utilisé pour enrichir le thésaurus des mots scientifiques du gcmd"

"La traduction du label et de la définition de chaque concept serait un + (les colonnes skos:prefLabel@fr et skos:definition@fr)"
"la colonne skos:exactMatch est utilisé pour créer un lien avec les concepts d'autres thésaurus"
"   - l'URI du terme correspondant du gcmd s'y trouve déjà"
"   - pour ajouter des concepts correspondants d'autres thésaurus, il faut séparer les URI par des virgules "","""

"Les identifiants de chaque concept ont été générés automatiquement et seront modifiés ultérieurement"
" Ils ne doivent pas être modifiés car ils sont utilisés pour créer des liens entre concepts"


URI,skos:prefLabel@en,skos:prefLabel@fr,skos:definition@en,skos:definition@fr,skos:narrower,skos:broader,skos:related,skos:exactMatch
ft:solid-metals-metals_physical-optical_properties-luster,Luster,,"The way light reflects off the surface of a mineral.",,ft:solid-metals-metals_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/af12ef6b-836b-40bf-959b-ec2d82c87389
ft:solid-metals-metals_physical-optical_properties-stability,Stability,,"The ability of a mineral to remain unaltered over a stated range of pressure and temperature.",,ft:solid-metals-metals_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/3ff1adcf-563f-47b3-902e-0231051dc8e7
ft:solid-metals-metals_physical-optical_properties-color,Color,,"The intrinsic color of the mineral.",,ft:solid-metals-metals_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/a2a5a2e1-6ac8-4bd4-9fe6-00f043bc148b
ft:solid-metals-metals_physical-optical_properties-electrical,Electrical,,"The electrical nature of a material is characterized by its conductivity (or, inversely, its resistivity) and its dielectric constant, and coefficients that indicate the rates of change of these with temperature, frequency at which measurement is made, and so on. For rocks with a range of chemical composition as well as variable physical properties of porosity and fluid content, the values of electrical properties can vary widely.",,ft:solid-metals-metals_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/ebebffc8-474e-46a9-b194-5cfe5a309e88
ft:solid-metals-metals_physical-optical_properties-cleavage,Cleavage,,"Breakage of a mineral along a flat plane of weakness.",,ft:solid-metals-metals_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/37edb662-820e-410f-a45c-7a419bce0c8b
ft:solid-metals-metals_physical-optical_properties-luminescence,Luminescence,,"It is the emission of “cold light” from minerals. There are several varieties of luminescence, each named according to the source of energy, or the trigger for the luminescence.",,ft:solid-metals-metals_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/b727b561-f738-436d-bb96-137b455bb54a
ft:solid-metals-metals_physical-optical_properties-reflection,Reflection,,"A method of exploration geophysics that uses the principles of seismology to estimate of the properties of the Earth's subsurface from reflected seismic waves. This measurement is also known as seismic reflection.",,ft:solid-metals-metals_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/f9385327-31fe-49a6-b3d6-073d6897ff4a
ft:solid-metals-metals_vertical-geographic_distribution,"Metals vertical/geographic distribution",,"The vertical and geographic distribution of metals within the solid Earth.",,ft:solid-metals,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/fbc418a0-5d32-43ab-9f1f-e81b9d8534e1
ft:solid-metals-metals_age_determinations,"Metals age determinations",,"An analysis and determination of the age of metals",,ft:solid-metals,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/a1b409b9-bf98-490a-8af5-f64fcda17a54
ft:solid-non-metallic_minerals,"Non-metallic minerals",,"Pertaining to the location, mining, production, or uses of non-metal bearing
ore minerals. 
",,ft:solid,"ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties, ft:solid-non-metallic_minerals-non-metallic_mineral_formation, ft:solid-non-metallic_minerals-non-metallic_mineral_vertical-geographic_distribution, ft:solid-non-metallic_minerals-non-metallic_mineral_age_determinations",,https://gcmdservices.gsfc.nasa.gov/kms/concept/d64a9627-3cf8-41d3-aaf7-8c2c46fb4a13
ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties,"Non-metallic mineral physical/optical properties",,"The study and analysis of the various physical and optical properties of non-metallic minerals.",,ft:solid-non-metallic_minerals,"ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-composition-texture, ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-hardness, ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-luster, ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-specific_gravity, ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-stability, ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-electrical, ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-color, ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-luminescence, ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-cleavage, ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-reflection",,https://gcmdservices.gsfc.nasa.gov/kms/concept/42424cb5-aa02-4e7e-b164-b2a3324285c6
ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-composition-texture,Composition/texture,,"An analysis of the composition and texture of non-metallic minerals within the solid Earth.",,ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/f53dd88a-d2a0-4a97-bdcf-70e013461bbe
ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-hardness,Hardness,,"In mineralogy the property of matter commonly described as the resistance of a substance to being scratched by another substance.",,ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/70cebb8f-f944-4fe7-be08-1ed86d50eb7c
ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-luster,Luster,,"The way light reflects off the surface of a mineral.",,ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/2e806852-5790-484f-9aee-a7cfc6683ec0
ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-specific_gravity,"Specific gravity",,"Identified as the density of the non-metallic mineral.",,ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/42632143-3d8c-40d9-a0ab-9fdffb98a6c9
ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-stability,Stability,,"The ability of a mineral to remain unaltered over a stated range of pressure and temperature.",,ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/07d5a2e4-47ef-4bee-81a7-42ef2eb7a77c
ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-electrical,Electrical,,"The electrical nature of a material is characterized by its conductivity (or, inversely, its resistivity) and its dielectric constant, and coefficients that indicate the rates of change of these with temperature, frequency at which measurement is made, and so on. For rocks with a range of chemical composition as well as variable physical properties of porosity and fluid content, the values of electrical properties can vary widely.",,ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/ffc61516-ea33-48f3-94df-7065fea388ee
ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-color,Color,,"The intrinsic color of the mineral.",,ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/bac88c42-fd8d-4970-878d-441977f00ffc
ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-luminescence,Luminescence,,"It is the emission of “cold light” from minerals. There are several varieties of luminescence, each named according to the source of energy, or the trigger for the luminescence.",,ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/a8f6fca6-7a5e-49f7-9b32-813aaf42d0db
ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-cleavage,Cleavage,,"Breakage of a mineral along a flat plane of weakness.",,ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/6a22f994-b311-4042-b517-35612ccf2bb6
ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties-reflection,Reflection,,"A method of exploration geophysics that uses the principles of seismology to estimate of the properties of the Earth's subsurface from reflected seismic waves. This measurement is also known as seismic reflection.",,ft:solid-non-metallic_minerals-non-metallic_mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/9911bf57-9d52-4fb3-a915-9e522e9845d5
ft:solid-non-metallic_minerals-non-metallic_mineral_formation,"Non-metallic mineral formation",,"An analysis of non-metallic mineral formation within the solid Earth.",,ft:solid-non-metallic_minerals,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/2b4d3c45-8713-4ec9-9565-866bb01be9f9
ft:solid-non-metallic_minerals-non-metallic_mineral_vertical-geographic_distribution,"Non-metallic mineral vertical/geographic distribution",,"The vertical and geographic distribution of non-metallic minerals within the solid Earth.",,ft:solid-non-metallic_minerals,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/1980c6c6-50f0-45a1-9a28-668f1372c09e
ft:solid-non-metallic_minerals-non-metallic_mineral_age_determinations,"Non-metallic mineral age determinations",,"An analysis and determination of the age of non-metallic minerals.",,ft:solid-non-metallic_minerals,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/497ec0b6-a732-4d97-9e5a-09eaf5ed4607
ft:solid-age_determinations,"Age determinations",,"Pertaining to the methods, results, and studies involved in  determining the age of rock units found in and on the Earth's crust.",,ft:solid,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/d4ac49a1-9ba5-4a90-a033-2ef317028352
ft:solid-metamorphic_rocks,"Metamorphic rocks",,"Pertaining to the composition, texture, formation, location, extent, etc. of rocks formed through metamorphic processes.",,ft:solid,"ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties, ft:solid-metamorphic_rocks-metamorphic_rock_age_determinations, ft:solid-metamorphic_rocks-metamorphic_rock_formation, ft:solid-metamorphic_rocks-metamorphic_rock_vertical-geographic_distribution",,https://gcmdservices.gsfc.nasa.gov/kms/concept/d220bbb1-410e-4b77-9663-78cb68c6b134
ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties,"Metamorphic rock physical/optical properties",,"The study and analysis of the various physical and optical properties of metamorphic rocks.",,ft:solid-metamorphic_rocks,"ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-composition-texture, ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-hardness, ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-specific_gravity, ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-luster, ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-stability, ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-color, ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-electricial, ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-luminescence, ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-cleavage, ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-reflection",,https://gcmdservices.gsfc.nasa.gov/kms/concept/2d38e7c6-8169-49e9-ab9d-0d0f690cce04
ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-composition-texture,Composition/texture,,"An analysis of the composition and texture of metamorphic rocks within the solid Earth.",,ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/9dbdb70e-7bea-4473-a7a9-9a7edf843af1
ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-hardness,Hardness,,"In mineralogy the property of matter commonly described as the resistance of a substance to being scratched by another substance.",,ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/953aecfe-a93d-4994-906f-5a1f8c4baa76
ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-specific_gravity,"Specific gravity",,"Identified as the density of the rock.",,ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/3fa18e78-7b40-425b-8773-ad3f0dab7cf4
ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-luster,Luster,,"Rock luster is the way light reflects off the surface of a mineral.",,ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/93aee4f9-2bcc-4208-b538-0c92f1ac1f42
ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-stability,Stability,,"The ability of a mineral to remain unaltered over a stated range of pressure and temperature.",,ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/0cbc201c-f58a-44a2-9515-f23eefc9be03
ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-color,Color,,"The intrinsic color of the mineral.",,ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/ee3df8b7-0b0b-40ed-b9fa-cc3205d95669
ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-electricial,Electricial,,"The electrical nature of a material is characterized by its conductivity (or, inversely, its resistivity) and its dielectric constant, and coefficients that indicate the rates of change of these with temperature, frequency at which measurement is made, and so on. For rocks with a range of chemical composition as well as variable physical properties of porosity and fluid content, the values of electrical properties can vary widely.",,ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/abd86f50-fc17-4020-a6ac-f0066fc5f7ec
ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-luminescence,Luminescence,,"It is the emission of “cold light” from minerals. There are several varieties of luminescence, each named according to the source of energy, or the trigger for the luminescence.",,ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/f8740a28-ec13-4ce8-8541-2ecae035b297
ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-cleavage,Cleavage,,"Breakage of a mineral along a flat plane of weakness.",,ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/f433284b-5def-465b-a532-62f0961294d0
ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties-reflection,Reflection,,"A method of exploration geophysics that uses the principles of seismology to estimate of the properties of the Earth's subsurface from reflected seismic waves. This measurement is also known as seismic reflection.",,ft:solid-metamorphic_rocks-metamorphic_rock_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/94bc302a-d9ce-4f8f-982b-08a35772e5e9
ft:solid-metamorphic_rocks-metamorphic_rock_age_determinations,"Metamorphic rock age determinations",,"An analysis and determination of the age of metamorphic rocks.",,ft:solid-metamorphic_rocks,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/02a53a61-4fd2-4294-9dcc-071f701bc263
ft:solid-metamorphic_rocks-metamorphic_rock_formation,"Metamorphic rock formation",,"The formation of metamorphic rock from pressure and heat.",,ft:solid-metamorphic_rocks,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/a243624b-a9c8-4c53-84d1-bb0fe2a71ef6
ft:solid-metamorphic_rocks-metamorphic_rock_vertical-geographic_distribution,"Metamorphic rock vertical/geographic distribution",,"The vertical and geographic distribution of metamorphic rocks within the solid Earth.",,ft:solid-metamorphic_rocks,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/5d80d2d2-7841-4734-a8c5-5d60679e3830
ft:solid-minerals,Minerals,,"Pertaining to the measurement, analysis, quantification, and comparison of the
crystal structures of minerals.
",,ft:solid,"ft:solid-minerals-mineraloids, ft:solid-minerals-mineral_physical-optical_properties, ft:solid-minerals-mineral_formation, ft:solid-minerals-mineral_vertical-geographic_distribution, ft:solid-minerals-mineral_age_determinations",,https://gcmdservices.gsfc.nasa.gov/kms/concept/387a51ad-382f-4297-be72-fdd4bb0fe3f9
ft:solid-minerals-mineraloids,Mineraloids,,"A naturally occurring, usually inorganic substance that is not considered to be a mineral because it is amorphous and lacks a periodically repeating arrangement of atoms, e.g. opal.",,ft:solid-minerals,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/56373f39-7c27-4a77-bb52-c4defee751f8
ft:solid-minerals-mineral_physical-optical_properties,"Mineral physical/optical properties",,"The study and analysis of the various physical and optical properties of minerals.",,ft:solid-minerals,"ft:solid-minerals-mineral_physical-optical_properties-composition-texture, ft:solid-minerals-mineral_physical-optical_properties-hardness, ft:solid-minerals-mineral_physical-optical_properties-luster, ft:solid-minerals-mineral_physical-optical_properties-specific_gravity, ft:solid-minerals-mineral_physical-optical_properties-stability, ft:solid-minerals-mineral_physical-optical_properties-color, ft:solid-minerals-mineral_physical-optical_properties-electrical, ft:solid-minerals-mineral_physical-optical_properties-luminescence, ft:solid-minerals-mineral_physical-optical_properties-cleavage, ft:solid-minerals-mineral_physical-optical_properties-reflection",,https://gcmdservices.gsfc.nasa.gov/kms/concept/da269095-7270-4a0d-8b43-2c85bd42dd90
ft:solid-minerals-mineral_physical-optical_properties-composition-texture,Composition/texture,,"An analysis of the composition and texture of minerals",,ft:solid-minerals-mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/9d828679-c6d3-4f74-9489-d9688509a025
ft:solid-minerals-mineral_physical-optical_properties-hardness,Hardness,,"In mineralogy the property of matter commonly described as the resistance of a substance to being scratched by another substance.",,ft:solid-minerals-mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/1545d45e-a4e6-43bd-a3ae-8d3a0a25b41e
ft:solid-minerals-mineral_physical-optical_properties-luster,Luster,,"Rock luster is the way light reflects off the surface of a mineral.",,ft:solid-minerals-mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/1c44d356-308d-4f92-8fe4-201edff3a02e
ft:solid-minerals-mineral_physical-optical_properties-specific_gravity,"Specific gravity",,"Identified as the density of the mineral.",,ft:solid-minerals-mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/cef686dd-4efe-4e4a-b6ef-360879b20dc9
ft:solid-minerals-mineral_physical-optical_properties-stability,Stability,,"The ability of a mineral to remain unaltered over a stated range of pressure and temperature.",,ft:solid-minerals-mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/3feb3e65-5a44-46db-ba7b-ceb695e4fb50
ft:solid-minerals-mineral_physical-optical_properties-color,Color,,"The intrinsic color of the mineral.",,ft:solid-minerals-mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/d8bea85a-4578-410f-b58a-4927b8963aef
ft:solid-minerals-mineral_physical-optical_properties-electrical,Electrical,,"The electrical nature of a material is characterized by its conductivity (or, inversely, its resistivity) and its dielectric constant, and coefficients that indicate the rates of change of these with temperature, frequency at which measurement is made, and so on. For rocks with a range of chemical composition as well as variable physical properties of porosity and fluid content, the values of electrical properties can vary widely.",,ft:solid-minerals-mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/a9f3ac40-047e-4649-bf0f-03480d6174ae
ft:solid-minerals-mineral_physical-optical_properties-luminescence,Luminescence,,"The emission of “cold light” from minerals. There are several varieties of luminescence, each named according to the source of energy, or the trigger for the luminescence.",,ft:solid-minerals-mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/307f8625-b4cf-4856-9d62-b200e94429a2
ft:solid-minerals-mineral_physical-optical_properties-cleavage,Cleavage,,"Breakage of a mineral along a flat plane of weakness.",,ft:solid-minerals-mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/a40aafdc-dcc0-43f0-bc57-3a567631fa3b
ft:solid-minerals-mineral_physical-optical_properties-reflection,Reflection,,"A method of exploration geophysics that uses the principles of seismology to estimate of the properties of the Earth's subsurface from reflected seismic waves. This measurement is also known as seismic reflection.",,ft:solid-minerals-mineral_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/f2057998-1d06-4e58-9177-447942355d66
ft:solid-minerals-mineral_formation,"Mineral formation",,"The formation of minerals due to solid homogeneous inorganic substances occurring with a definite chemical composition.",,ft:solid-minerals,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/f6ce9d55-4183-4433-a615-4c4f01d7810b
ft:solid-minerals-mineral_vertical-geographic_distribution,"Mineral vertical/geographic distribution",,"The vertical and geographic distribution of minerals within the solid Earth.",,ft:solid-minerals,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/cbac3817-116f-4280-b32d-d30bb0f37cbd
ft:solid-minerals-mineral_age_determinations,"Mineral age determinations",,"An analysis and determination of the age of minerals.",,ft:solid-minerals,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/239c04ba-6f82-4d4f-a60b-a1ee49301e0f
ft:solid-meteorites,Meteorites,,"Pertaining to the location, structure, composition, origin, or analysis of meteorites.",,ft:solid,"ft:solid-meteorites-meteorite_physical-optical_properties, ft:solid-meteorites-meteorite_origin, ft:solid-meteorites-meteorite_vertical-geogrpahic_distribution, ft:solid-meteorites-meteorite_age_determinations",,https://gcmdservices.gsfc.nasa.gov/kms/concept/96be1efc-d5e2-423d-8ade-00b3d454244d
ft:solid-meteorites-meteorite_physical-optical_properties,"Meteorite physical/optical properties",,"The study and analysis of the various physical and optical properties of meteorites.",,ft:solid-meteorites,"ft:solid-meteorites-meteorite_physical-optical_properties-composition-structure, ft:solid-meteorites-meteorite_physical-optical_properties-hardness, ft:solid-meteorites-meteorite_physical-optical_properties-specific_gravity, ft:solid-meteorites-meteorite_physical-optical_properties-stability, ft:solid-meteorites-meteorite_physical-optical_properties-electrical, ft:solid-meteorites-meteorite_physical-optical_properties-color, ft:solid-meteorites-meteorite_physical-optical_properties-reflection, ft:solid-meteorites-meteorite_physical-optical_properties-cleavage, ft:solid-meteorites-meteorite_physical-optical_properties-luminescence, ft:solid-meteorites-meteorite_physical-optical_properties-luster",,https://gcmdservices.gsfc.nasa.gov/kms/concept/3ff47a50-2f58-489b-96a7-74e1d40cf0f2
ft:solid-meteorites-meteorite_physical-optical_properties-composition-structure,Composition/structure,,"An analysis of the composition and texture of meteorites",,ft:solid-meteorites-meteorite_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/94370298-393b-4faa-bbb1-f8b6a47b9d56
ft:solid-meteorites-meteorite_physical-optical_properties-hardness,Hardness,,"In mineralogy the property of matter commonly described as the resistance of a substance to being scratched by another substance.",,ft:solid-meteorites-meteorite_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/a2c042a4-2658-48c1-a511-7a5dbff2b63d
ft:solid-meteorites-meteorite_physical-optical_properties-specific_gravity,"Specific gravity",,"Identified as the density of the mineral.",,ft:solid-meteorites-meteorite_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/7b6d19eb-616b-45cf-a1e6-cc8b549128f1
ft:solid-meteorites-meteorite_physical-optical_properties-stability,Stability,,"The ability of a mineral to remain unaltered over a stated range of pressure and temperature.",,ft:solid-meteorites-meteorite_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/a1d083b5-3233-4053-a479-4eb7d347c34b
ft:solid-meteorites-meteorite_physical-optical_properties-electrical,Electrical,,"The electrical nature of a material is characterized by its conductivity (or, inversely, its resistivity) and its dielectric constant, and coefficients that indicate the rates of change of these with temperature, frequency at which measurement is made, and so on. For rocks with a range of chemical composition as well as variable physical properties of porosity and fluid content, the values of electrical properties can vary widely.",,ft:solid-meteorites-meteorite_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/0de2a94f-9bd1-4ad0-b5b8-4a8237d049bf
ft:solid-meteorites-meteorite_physical-optical_properties-color,Color,,"The intrinsic color of the mineral.",,ft:solid-meteorites-meteorite_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/f54cb873-f20a-4476-835e-fd968c9b1937
ft:solid-meteorites-meteorite_physical-optical_properties-reflection,Reflection,,"A method of exploration geophysics that uses the principles of seismology to estimate of the properties of the Earth's subsurface from reflected seismic waves. This measurement is also known as seismic reflection.",,ft:solid-meteorites-meteorite_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/547c2bee-40ce-4b23-8338-5fa7c6ad8a8d
ft:solid-meteorites-meteorite_physical-optical_properties-cleavage,Cleavage,,"Breakage of a mineral along a flat plane of weakness.",,ft:solid-meteorites-meteorite_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/d9add64c-1764-4ddb-b088-71c77084a2f5
ft:solid-meteorites-meteorite_physical-optical_properties-luminescence,Luminescence,,"It is the emission of “cold light” from minerals. There are several varieties of luminescence, each named according to the source of energy, or the trigger for the luminescence.",,ft:solid-meteorites-meteorite_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/83aff0db-35fd-45f9-b409-692b17941f79
ft:solid-meteorites-meteorite_physical-optical_properties-luster,Luster,,"Luster is the way light reflects off the surface of a mineral.",,ft:solid-meteorites-meteorite_physical-optical_properties,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/651a6368-251e-45f6-8496-1f798de85db5
ft:solid-meteorites-meteorite_origin,"Meteorite origin",,"The origin and characteristics of meteorites within the solid Earth.",,ft:solid-meteorites,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/d45ccf89-7f8c-4a61-b46d-c34dca21c879
ft:solid-meteorites-meteorite_vertical-geogrpahic_distribution,"Meteorite vertical/geogrpahic distribution",,"The vertical and geographic distribution of meteorites within the Solid Earth",,ft:solid-meteorites,ft:solid-meteorites-meteorite_vertical-geogrpahic_distribution-luster,,https://gcmdservices.gsfc.nasa.gov/kms/concept/e468e55a-5bee-413e-8cbd-c9706e28eb93
ft:solid-meteorites-meteorite_vertical-geogrpahic_distribution-luster,Luster,,,,ft:solid-meteorites-meteorite_vertical-geogrpahic_distribution,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/5a8bc1e7-a74d-4acc-9ac2-8fea047068a8
ft:solid-meteorites-meteorite_age_determinations,"Meteorite age determinations",,"An analysis and determination of the age meteorites",,ft:solid-meteorites,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/6d75d735-7dac-42a2-8f87-2dfcbe3cf545
ft:solid-sediments,Sediments,,"Unconsolidated particles created by the weathering and erosion of rock, by chemical precipitation from solution in water, or from the secretions of organisms, and transported by water, wind, or glaciers.",,ft:solid,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/6600ace1-fc1e-4b5a-9f82-0afa19acf037
ft:solid-bedrock_lithology,"Bedrock lithology",,"Pertaining to the identification, measurement, analysis, and documentation of lithologic composition of the earth's bedrock.",,ft:solid,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/4beaeec9-0750-44e6-8fb4-8d0085efc82e
ft:solid-elements,Elements,,"A pure chemical substance consisting of one type of atom distinguished by its atomic number, the number of protons in its nucleus. They are divided into metals, metalloids, and non-metals",,ft:solid,"ft:solid-elements-minor_elements, ft:solid-elements-radioactive_elements, ft:solid-elements-major_elements, ft:solid-elements-trace_elements",,https://gcmdservices.gsfc.nasa.gov/kms/concept/da22144c-634d-4007-aba9-e636a9f2fa3f
ft:solid-elements-minor_elements,"Minor elements",,"Elements that constitute 1 to 0.1 wt. % of a rock as determined in a chemical analysis.",,ft:solid-elements,,,https://gcmdservices.gsfc.nasa.gov/kms/concept/63cf1bca-72c7-4f5e-8018-3d22befa7147
